Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-3.743377656,-1.671113147,4.50385528,2.882730055,-3.996752208,-1.810984594,4.555876046,2.759445607,25.57157
0.424628278,0.286833127,-0.007178774,-0.080975856,0.099776026,0.070194415,0.099776026,0.070194415,0
-2.397089208,-1.311388731,4.12604566,2.237890999,-2.249824799,-1.356241027,4.429401818,2.263488626,19.52809
-2.325046825,-1.168760404,3.405761956,2.070136575,-2.245114069,-1.218822232,3.562863379,2.008063996,18.38503
-0.432524731,-0.120209221,0.827275047,0.557188023,0.172195848,0.124243242,0.172195848,0.124243242,0
-2.754534826,-1.228124239,3.634853218,2.490503775,-2.356183446,-1.186395437,4.369874595,2.611089541,14.97064
-2.618718589,-1.272890759,3.840229313,2.277415841,-2.330149519,-1.215228156,4.270508322,2.394589867,14.90179
-0.310795021,-0.020109646,0.652829294,0.597525335,0.167136175,0.12434841,0.167136175,0.12434841,0
0.426580137,0.322823284,-0.20225619,-0.100371743,0.09221409,0.067649294,0.09221409,0.067649294,0
-2.485277427,-1.248711456,3.871472396,2.400211201,-2.537167353,-1.281912816,3.802056392,2.458035823,16.25351
-2.453906287,-1.176376409,3.783306324,2.093115987,-2.587909592,-1.150156168,3.659459137,2.179661319,16.52506
-2.874246504,-1.273424348,3.853352214,2.416397571,-3.02066374,-1.277912801,3.817008462,2.454427481,19.20658
0.317977324,0.262477066,-0.317773226,-0.102620492,0.095933615,0.068517461,0.095933615,0.068517461,0
-2.047487858,-0.86925852,2.52651444,1.805472974,-1.871489019,-0.773074041,2.335955785,1.588506862,18.26666
-2.30003287,-1.107128271,2.897770789,1.8715223,-1.914935381,-1.066778215,2.848239797,1.712925001,19.77647
-2.074405646,-1.062242151,3.515732053,1.979998223,-1.852494481,-0.931994998,3.633846071,2.025501943,13.13067
-3.819367271,-1.874216955,5.198651068,3.155543962,-4.362179378,-2.273664658,5.578535515,3.312757606,24.73199
0.53237237,0.446424042,-0.888327772,-0.351878591,0.109426445,0.081031955,0.109426445,0.081031955,0
-1.692904646,-0.800509096,2.375920225,1.377715341,-1.715626556,-0.727813686,2.024640877,1.227071061,18.09572
