Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
0.161682054,0.121616396,0.161682054,0.121616396,0.120835255,0.093866546,0.120835255,0.093866546,0
-2.875205031,-1.349231134,3.882555234,2.403213684,-2.985498955,-1.336933812,3.763752042,2.292228492,18.15842
-3.276548762,-2.047465693,6.214682125,3.25609263,-3.020157372,-2.084516263,6.850696296,3.154029557,23.10311
-3.96500392,-2.062176226,5.692746217,3.158554331,-4.310458362,-2.253115545,5.514326305,3.311400154,24.65976
-1.226809746,-0.381844465,1.284377117,1.087253023,-1.125400942,-0.469449667,1.462241642,0.98143757,12.65613
-2.666178358,-1.180744917,2.891082011,2.015352991,-2.536795138,-1.177512121,3.040812569,1.878353788,23.28433
-1.816744082,-0.760933993,2.081652292,1.369309926,-1.559205785,-0.694900611,2.121326317,1.323816806,19.94448
-2.283882137,-0.908302739,2.31386015,1.669547678,-2.426597187,-0.800488423,2.076564817,1.796347861,19.55759
-1.590047546,-0.663010247,2.704775719,1.796026659,-1.668895991,-0.582129987,2.678274377,1.953302333,10.53869
0.132932292,0.096516782,0.132932292,0.096516782,0.121404373,0.090704795,0.121404373,0.090704796,0
0.157922536,0.119432174,0.157922536,0.119432174,0.188266509,0.141367489,0.188266509,0.141367489,0
-2.833963161,-1.738815056,5.229761687,2.789582984,-2.597921984,-1.560792561,4.871256667,2.537656471,21.82935
0.123384637,0.090552965,0.123384637,0.090552965,0.134433279,0.098118057,0.134433279,0.098118057,0
0.110871385,0.079527652,0.110871385,0.079527652,0.162547724,0.126152217,0.162547724,0.126152217,0
-1.999106895,-0.824455682,2.328322592,1.673551292,-2.380330753,-0.893628191,1.909714709,1.80991337,17.65903
-3.138600647,-2.193213327,6.573839675,3.305321373,-3.213564012,-2.168238565,6.081644477,3.250490989,23.88442
0.154502227,0.113354326,0.154502227,0.113354326,0.108477372,0.074530633,0.108477372,0.074530633,0
-2.624240217,-1.27129081,3.382986883,2.152779163,-2.251836771,-1.257949262,3.473812774,1.898526563,22.6272
-2.712074463,-1.357977926,4.478359404,2.531706748,-2.817373715,-1.413830002,4.141485209,2.362904913,16.46495
0.263618346,0.206566495,0.263618346,0.206566495,0.16417437,0.124805698,0.16417437,0.124805698,0
-1.47359054,-0.4561217,1.590355971,1.18320467,-1.785864403,-0.468480291,0.896417479,1.173335531,14.8372
0.131734894,0.099224784,0.131734894,0.099224784,0.109051366,0.079089578,0.109051366,0.079089578,0
-1.36709794,-0.342044053,1.025188688,1.019755164,-1.074317468,-0.401395164,1.449382714,0.897644586,13.57181
-1.999685045,-0.778461775,2.390416139,1.747398656,-2.084345368,-0.809861389,2.199456775,1.599784358,16.04674
-1.652177569,-0.619205518,2.358093565,1.703724937,-1.917579521,-0.605233453,2.557120566,1.965033096,11.87947
0.14401321,0.108525227,0.14401321,0.108525227,0.12510231,0.096675544,0.12510231,0.096675544,0
-3.28541962,-1.860787871,5.556335516,3.03646097,-3.525016441,-1.895323036,4.99256292,2.968309818,19.96641
-2.340783171,-0.984024697,2.952212786,1.917056243,-2.318479532,-0.946028039,2.990176332,1.854178146,17.7116
-1.768195886,-0.77982655,2.462203716,1.661476289,-1.778642735,-0.746061566,2.526825267,1.736998999,14.56306
-1.501431096,-0.551165437,1.859621201,1.279844126,-1.322682493,-0.518204821,2.041280178,1.199736226,14.68401
0.135927133,0.102187086,0.135927133,0.102187086,0.152290293,0.11187965,0.152290293,0.11187965,0
-1.992096105,-0.889127267,3.107613324,1.916467806,-2.253989528,-0.959900771,2.95620748,2.035887639,14.32757
-1.998309813,-0.869271962,3.362626734,2.078512027,-1.991923319,-0.860395229,3.38750827,2.147547782,12.66008
-2.379581735,-0.99017171,2.912797835,1.918170818,-1.909093036,-0.939240716,2.819897734,1.765708536,16.68107
0.142609757,0.107089653,0.142609757,0.107089653,0.131923876,0.090440169,0.131923876,0.090440169,0
-2.715288054,-1.346683901,3.942257233,2.331087698,-2.899217525,-1.542435607,3.813203241,2.43088131,19.37319
-2.608082869,-1.282333716,3.365878255,2.203441245,-2.457650574,-1.249631102,3.307044894,1.979391974,23.61208
-2.710491187,-1.08600692,2.451492753,1.924526232,-2.753838581,-1.056320371,2.729370623,2.02235552,22.2993
-2.848804847,-1.383507419,4.000016899,2.524504154,-2.895486255,-1.406460898,4.011348541,2.472468251,17.76392
-1.511272058,-0.607681807,2.211183193,1.434448445,-1.704285261,-0.517439374,2.457233433,1.831753797,13.91499
0.144772464,0.111142024,0.144772464,0.111142024,0.10159006,0.069312432,0.10159006,0.069312432,0
0.141224206,0.104722495,0.141224206,0.104722495,0.140334671,0.103231204,0.140334671,0.103231204,0
