Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-2.244393943,-0.995551304,2.979380279,1.89062644,-2.318479532,-0.946028039,2.990176332,1.854178146,17.7116
-1.776450575,-0.779766901,2.494921773,1.680838373,-1.778642735,-0.746061566,2.526825267,1.736998999,14.56306
-1.429224311,-0.517366427,1.84810157,1.226173829,-1.322682493,-0.518204821,2.041280178,1.199736226,14.68401
0.123307686,0.09012346,0.123307686,0.09012346,0.152290293,0.11187965,0.152290293,0.11187965,0
-2.039430939,-0.869162871,3.02222823,1.934365558,-2.253989528,-0.959900771,2.95620748,2.035887639,14.32757
-2.090432501,-0.868569136,3.26387016,2.110346304,-1.991923319,-0.860395229,3.38750827,2.147547782,12.66008
-2.36198408,-0.98004056,2.759956028,1.895371174,-1.909093036,-0.939240716,2.819897734,1.765708536,16.68107
0.129356524,0.093308651,0.129356524,0.093308651,0.131923876,0.090440169,0.131923876,0.090440169,0
-2.972372268,-1.391784037,3.838229871,2.502973452,-2.899217525,-1.542435607,3.813203241,2.43088131,19.37319
-2.563423205,-1.269291452,3.44089588,2.115808965,-2.457650574,-1.249631102,3.307044894,1.979391974,23.61208
-2.484583286,-1.077359194,2.707069471,1.829089516,-2.753838581,-1.056320371,2.729370623,2.02235552,22.2993
-2.889670495,-1.362671981,4.093107531,2.54514802,-2.895486255,-1.406460898,4.011348541,2.472468251,17.76392
-1.633865908,-0.56636565,1.968773424,1.506149948,-1.704285261,-0.517439374,2.457233433,1.831753797,13.91499
0.11380365,0.081488268,0.11380365,0.081488268,0.10159006,0.069312432,0.10159006,0.069312432,0
0.183764779,0.139425585,0.183764779,0.139425585,0.140334671,0.103231204,0.140334671,0.103231204,0
-3.200291341,-1.737414765,4.70648413,2.702074839,-2.877672812,-1.787026286,4.89242212,2.742405929,25.59192
0.111874364,0.081876996,0.111874364,0.081876996,0.091523936,0.068034653,0.091523936,0.068034653,0
